id,tool,context,text,mw_ny,ke_sw,tj_tg,zm_ny,archived,zm_bem,zm_toi,zm_loz,zm_lun,zm_kqn,zm_lue,mw_tum,country_code
budget--whatisyourtypeofenterprise,budget,,What is your type of enterprise?,kodi mtundu wanu wabizinesi ndi uti?,,Навъи корхонаи шумо чист?,kodi mtundu wanu wabizinesi ndi uti?,,Bushe musango nshi uwa makwebo yenu,Ino makwebo alibuti ngomucita?,kana pisinisi yamina ki ye cwani ?,mwalandishangá yumanyi,nanyi mutundu wa mwingilo,Nyi liuka lyove lyakusekasana lyapwa ngachilihi?,Bizinesi yinu njamtundu uli?,
budget-activities-applyfertiliser,budget,activities,apply fertiliser,kuthira feteleza,,Ба кор нуриҳо муроҷиат кунед,thirani fatatleza,,Bikeni umufundo,amubikke camutunzya,kusela mununo,kusha wushi,kubika mbolesha,Haka wilo,Kuthira fetereza,
budget-activities-applypesticide,budget,activities,apply pesticide,kopopela mankhwala a tizilombo,,пестисидҳоро татбиқ кунед,thirani mankhwala opha tidoyo,,Bomfyeni umuti wa kwipaya ifishishi,Amubikke musamu uujaya tuuka,kupompela mulwani waku sileleza li kokwani,kusha itumbu yakuzhaha tububu,kusansa muchi kubijimwa,Haka vitumbo vyakujiha tututu,Kupopera munkhwala wakukomera tuvibungu,
budget-activities-bagging,budget,activities,bagging,kupakila m'matumba,,халта,kuika m'mathumba,,Ukubika mu mifuko,Amukwabilile cisyango (bagging),kubeha mwa ma saka,kusha mwiyisweku,kubika kajo mu masaka,Kulongejeka vimbuto mujinjeke nakuvilaminamo,Kupakila mumathumba,
budget-activities-banding,budget,activities,banding,kubandila,,банд,kumangilira,,Ukukakatika,Amucince musyobo wa cisyango (banding),kutamelela,kunungá,kukasa ku bijimwa,Katachikijilo ka wanda waulombo weka,Kuwungirira,
budget-activities-buildhousing,budget,activities,build housing,kumanga makola,,сохтани манзил,kumanga nyumba,,Ukukula amayanda,Amuyake maanda aakubikila,kuyaha ndu,kutungá matala,kushimika mazubo,Kutunga mazuvo,Kuzenga vibaya,
budget-activities-compostmanuremaking,budget,activities,compost manure making,kupanga manyowa akompositi,,компост компост,kupanga manyowa a zinyalala,,Ukupanga mufundo wa cikaya,Amupange mbolenzi,kupanga mununo ka kuitusisa manyala,kulengá manyuwa,kulenga mufundo waku bijimwa,Kutunga wilo kufuma mwila mafo na wilo wavimuna,Kupanga mthyuwa panji manyoba,
budget-activities-dipping,budget,activities,dipping,kusambitsa ziweto m'mankhwala,,ғӯтонда,kupaka,,Ukutubika,Amundibye,ku chumbwika,kwingízha yimuna mumenzhi ayitumbu,kubika banyama mumuchi,Kujimika vimuna mumeya avitumbo,Kupanga dipi viweto,
budget-activities-feedinglivestock,budget,activities,feeding livestock,kudyetsa ziweto,,таъом додани чорводорӣ,kudyetsa ziweto,,Ukulisha inama,Amusanine izyivwubwa,ku chisa limunanu,kudisha yimuna,kujisha bilelwa,Kulisa vimuna,Kulyesa viweto,
budget-activities-harvesting,budget,activities,harvesting,kukolola,,гирдоварӣ,kukolola,,Ukusombola,Amutebule,ku kutula,kwangúla,kunowa kajo,Kwaha,Kukolola,
budget-activities-landclearing,budget,activities,land clearing,kusosa,,тозакунии замин,kukonza malo,,Ukuwamya mpanga,Amubambe nyika,ku lukisa simu,kuwahisha maha,kunengezha bujimi,Kuwahisa wande,Kusosa,
budget-activities-marketingandselling,budget,activities,marketing and selling,kutsatsa ndi kugulitsa,,Маркетинг ва фурӯш,kutsatsa ndi kugulitsa,,Ukushitisha no kushitisha,Amutole kumusyika akusambala,za musika ni kulekisa,"kwilukisha wuselewa wenu, nikulandisha",byabusulu ne lupoto,Kwaula kusekasana nakulanjisa,Kusaska malonda na kugulisa,
budget-activities-mulching,budget,activities,mulching,kuphimbira,,пешкаш,kuphimba nthaka,,Ukufimba,Amubikke bwizu atala aacisysngo,kubeha bucwani fa licalo,kubuta maseki namatahu hela mafu,kubika nsono ne mabula mu mimpalala,"Kuhaka mwila, mafo,chipwe unga wamitondo kuvimbuto",Kujalapo pachanya padongo na uchani panji mapesi,
budget-activities-ploughing,budget,activities,ploughing,kugalauza,,шудгор кардан,kugaula,,Ukulima,,kugampa,kudima,kujima,Kulima na litemo lya vangombe,Kugaula,
budget-activities-postharvesthandling,budget,activities,post-harvest handling,kusamala zokolora,,Мавридҳои ҳосили пас аз,kasamalidwe pambuyo po kolola,,Ukusunga ifya kulya panuma ya kusombola,Amubone kuti mwatebula kabotu kakunyina kusinyikilwa,muezezo kasamulaho a kutulo,mwakuhembela mbutu hanyima yakwangúla,kulama bulongo kajo komwanowa,Milimo yakavangizaho nge munahe (munahokola) lyehi jimbuto,Kupwererela ivyo takolola,
budget-activities-providesupplements,budget,activities,provide supplements,kupereka zakudya zoonjezera,,лавозимотро таъмин кунед,perekani zowonjezeka,,Ukupela ifya kulya ifyakulundwapo,Amubikke busani,Kufa zakutusa,kwinka zhakukwasha kumuzhimba,kujisha bilelwa,Kuhana vyakuhakilaho,kupereka vyakulya vyakusazgirapo,
