id,tool,context,text,mw_ny,ke_sw,tj_tg,zm_ny,archived,zm_bem,zm_toi,zm_loz,zm_lun,zm_kqn,zm_lue,mw_tum,country_code
commoncrops--tomatoes,common_crops,,Tomatoes,tomato,,помидор,chimate,,Tomato,Madeede,Tamangisi,machamacha,mate-mate,Machamacha,Tomato,
commondays-day1-monday,common_days,day_1,Monday,Lolemba,,,Lolemba,,Pali cimo,Buzuba bwakusaanguna mumuvwulo 1,La mubulo,hachimu,pakimo,Lyamande,Mande,
commondays-day2-tuesday,common_days,day_2,Tuesday,Lachiwiri,,,Lachiwiri,,Pali cibili,Mubuzuba bwabili 2,La bubeli,hachiyedi,pakibiji,Lyachivali,Chiwiri,
commondays-day3-wednesday,common_days,day_3,Wednesday,Lachitatu,,,Lachitatu,,Pali citatu,Mubuzuba bwatatu 3,La bulalu,hachisatu,pakisatu,Lyachitatu,Chitatu,
commondays-day4-thursday,common_days,day_4,Thursday,lachinayi,,,Lachinai,,Pali cine,Mubuzuba bwane 4,La bune,hachiwana,pakina,Lyachiwana,Chinayi,
commondays-day5-friday,common_days,day_5,Friday,Lachisanu,,,Lachisanu,,Pali cisano,Mubuzuba bwafwuka 5,La kuketa lizoho,hachitanu,pakitano,Lyachitanu,Chinkhondi,
commondays-day6-saturday,common_days,day_6,Saturday,Loweruka,,,Lachiweru,,Pa cibelushi,Mubuzuba bwacisambomwe 6,La pelekelo,hamposu,pakibelushi,Sateli,Chisulo,
commondays-day7-sunday,common_days,day_7,Sunday,Lamulungu,,,Lamlungu,,Pa sondo,Mubuzuba bwaciloba 7,La sunda,hamulungu,pa mulungu,Chalumingo,Sabata,
commondays-dayshort1-mon,common_days,day_short_1,Mon,Mon,,,Lolemba,,Cimo,Mubuzuba Mumuvwulo,La Monday,hachimu,kimo,Mande,Mon,
commondays-dayshort2-tue,common_days,day_short_2,Tue,Tue,,,Lachiwiri,,Cibili,Mubuzuba Bwabili,La bupeli,hachiyedi,kibiji,chivali,Tue,
commondays-dayshort3-wed,common_days,day_short_3,Wed,Wed,,,Lachitatu,,Citatu,Mubuzuba Bwatatu,La bulalu,hachisatu,kisatu,chitatu,Wed,
commondays-dayshort4-thu,common_days,day_short_4,Thu,Thu,,,Lachinayi,,Cine,Mubuzuba Bwane,La bune,hachiwana,kina,chiwana,Thu,
commondays-dayshort5-fri,common_days,day_short_5,Fri,Fri,,,Lachisanu,,Cisano,Mubuzuba Bwafwuka,La kuketa lizoho,hachitanu,kitano,chitanu,Fri,
commondays-dayshort6-sat,common_days,day_short_6,Sat,Sat,,,Loweruka,,Cibelushi,Mubuzuba Bwamusabata,La pelekelo,hamposu,kibelushi,Sateli,Sat,
commondays-dayshort7-sun,common_days,day_short_7,Sun,Sun,,,Lamlungu,,Sondo,Mubuzuba Bwamusondo,La sunda,mulungu,mulungu,chalumingo,Sun,
commonmonths-month01-january,common_months,month_01,January,January,Januari,Январ,Januwale,,Akabengele kanono,Wa 01 January,Januwale,chinzeji,juba jitanshi mu nondo wakakub kache,Chizeji,Januwale,
commonmonths-month02-february,common_months,month_02,February,February,Februari,Феврал,Febuluwale,,Akabengele kakalamba,wa 02 February,Febuluwale,kusolu,juba ja bubiji mu nond wa nkubo mukata,Kutatu,Febuluwale,
commonmonths-month03-march,common_months,month_03,March,March,Machi,Март,Marichi,,Kutumpu,Wa 03 March,March,mainza amaneni,juba ja busatu mu nondo wa kisaka,Kuwana,Malich,
commonmonths-month04-april,common_months,month_04,April,April,Aprili,Апрел,Epulo,,Shinde,Wa 04 April,Epulo,kulundu,juba jabuna mu nond wa ndolo,Kambamba na lisa,Epulero,
commonmonths-month05-may,common_months,month_05,May,May,,,May,,Akapepo kanono,Wa 05 May,May,kashikana,juba jabuna mu nondo wamulombola,Shika mundende,Meyi,
commonmonths-month06-june,common_months,month_06,June,June,Juni,Июн,Juni,,Akapepo kakalamba,Wa 06 June,Juni,chishika muneni,juba jabutano ne jimo mu nondo wa kapyantonto,Shika munene,Juni,
commonmonths-month07-july,common_months,month_07,July,July,Julai,Июл,Julayi,,cikungulu mpepo,Wa 07 July,Julayi,kapupulu,juba jabutano ne bubiji mu nondo wamankumbi nkumbi,Kuhuhu,Julayi,
commonmonths-month08-august,common_months,month_08,August,August,Agosti,Август,Ogasiti,,Kasakantobo,Wa 08 August,Ogasiti,kakanzakanza,juba jabutano ne busatu mu nondo wa kasala kanduba,Kukumi,Ogasiti,
commonmonths-month09-september,common_months,month_09,September,September,Septemba,сентябр,Seputembala,,Ulusuba lunono,Wa 09 September,Seputembala,nkanza muneni,juba jabutano ne buna mu nondo wa kasala kanduba,Kasukwe,Seputembala,
commonmonths-month10-october,common_months,month_10,October,October,Oktoba,Октябр,Okutobala,,Ulusuba lukalamba,Wa 10 October,Okutobala,ivumbi,juba ja bujikumi mu nondo wa ntundwe,Katundwe,Okutobala,
commonmonths-month11-november,common_months,month_11,November,November,Novemba,Ноябр,Novembala,,Cinshikubili,Wa 11 November,Novembala,ivumbi muneni,juba jabujikumi ne jimo mu nondo wa kapande,Tundwe munene,Novembala,
commonmonths-month12-december,common_months,month_12,December,December,Desemba,Декабр,Disembala,,Umupundu milimo,Wa 12 December,Disembala,kwali,juba jabujikumi ne bubiji mu nondo wa kuvumbi,Kuvale,Disembala,
commonmonths-monthshort01-jan,common_months,month_short_01,Jan,Jan,,Янв,Jan,,Akabengele kanono,Jan,Jan,chinzeji,kakubo kache,Chiz,Jan.,
commonmonths-monthshort02-feb,common_months,month_short_02,Feb,Feb,,Феврал,Feb,,Akabengele kakalamba,Feb,Feb,kusolu,nkubo mukata,Kut,Feb.,
commonmonths-monthshort03-mar,common_months,month_short_03,Mar,Mar,,Пеш,Mar,,Kutumpu,Mar,Mar,mainza amaneni,kisaka,Kuw,Mar.,
commonmonths-monthshort04-apr,common_months,month_short_04,Apr,Apr,,Апралӣ,Apr,,Shinde,Apr,Apr,kulundu,mulombola,Kam,Apr.,
commonmonths-monthshort05-may,common_months,month_short_05,May,May,Mei,Май,,true,,,,,,,May.,
commonmonths-monthshort06-jun,common_months,month_short_06,Jun,Jun,,Июн,Jun,,Akapepo kakalamba,Jun,Jun,chishika muneni,kapyantonto,Shik,Jun.,
commonmonths-monthshort07-jul,common_months,month_short_07,Jul,Jul,,Шаул,Jul,,Cikungulu mpepo,Jul,Jul,kapupulu,mankumbinkumbi,Kuh,Jul.,
commonmonths-monthshort08-aug,common_months,month_short_08,Aug,Aug,,Август,Aug,,Kasakantobo,Aug,Aug,kakanzakanza,kasalakanduba,Kuk,Aug.,
commonmonths-monthshort09-sep,common_months,month_short_09,Sep,Sep,,Сен,Sep,,Ulusuyba lunono,Sep,Sep,nkanza muneni,kainyainya,Kas,Sept.,
commonmonths-monthshort10-oct,common_months,month_short_10,Oct,Oct,,Окт окт,Oct,,Ulusuba lukalamba,Oct,Oct,ivumbi,ntundwe,Kat,Oct.,
commonmonths-monthshort11-nov,common_months,month_short_11,Nov,Nov,,Ноябр,Nov,,Cinshikubili,Nov,Nov,ivumbi muneni,kapande,Tun,Nov.,
commonmonths-monthshort12-dec,common_months,month_short_12,Dec,Dec,,Кек,Dec,,Umupundu milimo,Dec,Dec,kwali,Kuvumbi,Kuv,Dec.,
commonweather--clear,common_weather,,Clear,Kopanda mitambo,,,Chotsani,,Fumyenipo,Nokunyina makumbi,kuzusa,kuzhima,fumyaipo byonse bijipo,Tomesa,Kwambula mabingo,
commonweather--cloudy,common_weather,,Cloudy,Kwamitambo,,,M'dima,,Ikumbi,Nokuli makumbi,Malu amang'ata,kudi mavu,makumbi-makumbi,Mavwi,Kwamabingo,
commonweather--heavyrain,common_weather,,Heavy Rain,Mvula ya mphanvu,,,Mvula Yamphamvu,,Imfula iikalamba,Nokuli vwula ipati,Pula yengata,nvula yeneni,mvula inge wanoka mukatampe,Vula yayinene,Vula yinandi yankhongono,
commonweather--lightrain,common_weather,,Light Rain,Mvula ya mawawa,,,Mvula yochepa,,Imfula iyinono,Nokuli vwula isyoonto,pula yeinyani,nvula yamweseka,mvula inge wasansa pacheche,Vula yamweseke,Vula yichoko yakuwazga,
commonweather--rain,common_weather,,Rain,Mvula,,,Mvula,true,,,,,,,,
cropprobability--calculatedbyusingfaoclimwat20forcropwatandcropwat80andclimatedatafornkhotakotametstation,crop-probability,,Calculated by using FAO CLIMWAT 2.0 for Cropwat and Cropwat 8.0 and climate data for Nkhotakota Met Station.,Kuwerengeredwa pogwiritsa ntchito FAO CLIMWAT 2.0 ya Cropwat ndi Cropwat 8.0 ndi uthenga wa  zanyengo ya Nkhotakota Met Station.,,,Kuwerengela kusewenzetsa FAO CLIMWAT 2.0 for Cropwat and Cropwat 8.0 and climate data for Nkhotakota Met Station.,true,,,,,,,,
cropprobability--calculatedusingfaoclimwat20forcropwatandcropwat80,crop-probability,,Calculated using FAO CLIMWAT 2.0 for Cropwat and Cropwat 8.0,kuwerengedwa pogwiritsa ntchito FAO CLIMWAT 2.0  ndi Cropwat 8.0,,,,,,,,,,,,
cropprobability--chanceofreceivingthewaterrequirementinthedaystomaturityforthiscropvariety,crop-probability,,Chance of receiving the water requirement in the days to maturity for this crop variety,Mwayi olandira madzi amene mbewu imafunikira mu masiku amene mbewu imatenga kuti ikhwime  pa mbewu zosiyanasiyana,,,Mpata wolandila madzi oyenera kuti mtundu wa mbeu iyi iche.,,Ishuko lya kupokelelas amenshi ayafwaikwa mu nshiku sha kukula kuliuyu musango wa filimwa,Bbuku yakulemba zyomucita,Maata akufumana mezi atokwahala kwa mufuta wa sicalo mwa mazazi a lukile kuyofita nako ya kutulo,kutela kchakutambwila menzhi akengékangá kudi iwu muchidi wambutu mumafuku akukula chayu,kwikala najishuko jakwikala na meema akukonsha kukomesha bijimwa,Makumbi akuhya chamiyachi imwe yambuto nameya jatonda mbuto kana,Mwabi wakupokera maji ghakwenerera mumazuba pambere mbewu yindafike pakucha,
cropprobability--crop,crop-probability,,Crop,mbewu,,,zokolora,,Icisabo,Bbuku yakulemba zyomucita,licalo,mbutu,kijimwa,Mbuto,Mbewu,
cropprobability--cropinformation,crop-probability,,Crop Information,Uthenga okhudza mbewu,Maelezo ya Mazao,Маълумоти зироат,Dongosolo lokhudza Mbeu,,Amashiwi ya fyakulima,Milumbe ya cisyango,Mangusa a lipeu,nsangu yambutu,sabwakya pa bijimwa,Mazu aunjiho wambuto,Kulongosola za mbewu,
cropprobability--cropprobabilitiesdependonwhentheseasonstartshereyoucanseetheprobabilitiesoftheseasonstartingatdifferentdates,crop-probability,,"Crop probabilities depend on when the season starts.
Here you can see the probabilities of the season starting at different dates",,,,,true,,,,,,,,
cropprobability--cropwaterrequirement,crop-probability,,Crop Water Requirement,Kuchuluka kwa madzi amene mbewu imafuna,,,M'yeso wofunikira wa madzi ku mbeu iyi,,,,,,,,Wunandi wamaji ghakwenerera pa mbewu,
cropprobability--cropwaterrequirementmm,crop-probability,,Crop water requirement (mm),Kuchuluka kwa madzi amene mbewu imafuna,,,M'yeso wofunikira wa madzi ku mbeu iyi,true,Amenshi ayafwaikwa ku filimwa,Meenda ayandika kucisyango (mm),Mezi a tokwahala kwa lipeu,menzhi akengékangá kumbutu (mm),meema akebewa pakukomesha kijimwa mu mm nobe kipimo,Meya azanga vimbuto ( muma mm),Wunandi wamaji ghakwenerera pa mbewu (mm),
cropprobability--daystomaturity,crop-probability,,Days to maturity,Masiku omwe zimatenga kuti ziche,,,Masiku kuti iche,,Inshiku ukufika ku kukula,Mazuba aakubizwa,Mazazi a kutulo,mafuku akukula,moba akupilamo kijimwa,Makumbi akutwala kukuhya,Mazuba pambere mbewu yindafike pakucha,
cropprobability--district,crop-probability,,District,Boma,,,Boma,true,Umusumba,Cilikiti,Likiliti,mbongí,nkambi,Mbongi,Boma,
cropprobability--eachrowcontainsinformationaboutcropvarietydaystomaturityandwaterrequirementprobabilitiesofreceivingrequirementsareshownfordifferentplantingdates,crop-probability,,"Each row contains information about crop, variety, days to maturity and water requirement. Probabilities of receiving requirements are shown for different planting dates",,,,,true,,,,,,,,
cropprobability--herewecanseeinformationforaspecificcropvariety,crop-probability,,Here we can see information for a specific crop variety,,,,,true,,,,,,,,
cropprobability--inthecropinformationtableyouwillbeabletoseetheprobabilitiesfordifferentcropsthroughthedifferentseasons,crop-probability,,"In the crop information table, you will be able to see the probabilities for different crops through the different seasons.",,,,,true,,,,,,,,
cropprobability--longitude3426latitude1291altitude500,crop-probability,,"Longitude:34.26, Latitude: -12.91 Altitude: 500.","Longitude:34.26, Latitude: -12.91 Altitude: 500.",,,"Kutalika :34.26, Kutambasuka:12.91, Mtunda wa M'mwamba : 500",true,,,,,,,,
cropprobability--nowyouarereadytoexplorethecropinformationtool,crop-probability,,Now you are ready to explore the crop information tool,,,,,true,,,,,,,,
cropprobability--probabilityofseasonstartonorbeforedate,crop-probability,,Probability of season start on or before date,Kuthekera kwakuti nyengo ya mvula iyamba pa tsiku linalake kapena tiskuli lisanakwane,,,Mwayi wa kuthekerakwa kuyamba kwa nyengo pa tsiku linalake kapena musanatike.,,Ukulingana kwa nshita ukutendeka pa bushiku nangu ilyo ubushiku bushilafika,Ciindi cakulima catalika antela buzuba kabutana sika,Zakueza za kona ku kala kapili kapa fa zazi,kutela chakutachika kwachilaaka hefuuku datela hela henohu kanda ifuku odu dishiki,kwesekanya ne kuketekela kimye mvula kyo akatendeka kunoka nangwa kukaleka,Nambala yangonde inaputuka lyehi chipwe shimbu kanda likumbi lihete,Mwabi wakuti nyengo yingayamba pazuba lakuti panji pambere zuba lindafike,
cropprobability--station,crop-probability,,Station,sitesheni,,,malo,true,Citeshoni,Abusena,sibaka,ilungá,kiteshenyi,Chitishinyi,Siteshoni,
cropprobability--thecropfiltershowsmoreinformationforspecificcrops,crop-probability,,The crop filter shows more information for specific crops,,,,,true,,,,,,,,
cropprobability--thematurityandwaterrequirementscanbeusedtocalculatethechanceofsatisfyingtheseconditionsforaspecificplantingdate,crop-probability,,The maturity and water requirements can be used to calculate the chance of satisfying these conditions for a specific planting date,,,,,true,,,,,,,,
cropprobability--thisisthenumberofdaystomaturityforthevariety,crop-probability,,This is the number of days to maturity for the variety,,,,,true,,,,,,,,
cropprobability--thisiswaterrequirementforthevariety,crop-probability,,This is water requirement for the variety,,,,,true,,,,,,,,
cropprobability--variety,crop-probability,,Variety,Mtundu wa mbewu,,,Mtundu wa mbeu,,Imisango yalekana lekana,Musyobo,Mifuta ya lipeu,muchidi wambutu,mutundu wa nkunwa,Miyachi ya vyuma,Mutundu wa mbewu,
extension--appterms,extension,,App Terms,Kagwiritsidwe ntchito ka application,,,,,,,,,,,,
extension--clickonthebuttonbelowtoretry,extension,,Click on the button below to retry,dinani pa batani pansipa kuti muyesenso,Bofya kwenye kifungo chini ili ujaribu tena,"Тугмаи поёнро зер кунед, то дубора такрор кунед",dinizani pa batani pansipa kuti muyesenso,true,Tinikeni pali batani ili pesamba pakuti mweshe nakabili,Amutyanke muselele kutegwa musole alimwi,musine fa batani fafasi kulika hape,chintenu heshinohu kulonda mutachikishi chengí,chinyikai pakake kajibatani pakubamba mukonshe kutwajijila,Nyachika ha mbutau ili mwishi managana wingise cheka,Dininizgani batani pasi apo kuti muyezgeso,
extension--digitalskills,extension,,Digital Skills,Luso la makono,,,,,,,,,,,,
extension--downloads,extension,,Downloads,Kutsitsa uthenga pa internet,,,,,,,,,,,,
extension--forecasts,extension,,Forecasts,Maulosi,,,Zolosera/zanyengo,,Ukusobela,Izyakulanganya,mufukelo wa moya,nsangú yayimwenu yanomu muyikwikalila yuma,masabwakya pa nokelo ya mvula ne mwela,Kweseka chajingonde,Kuloska,
extension--privacypolicy,extension,,Privacy Policy,Mfundo zazinsinsi,,,Mfundo zazinsinsi,,,,,,,,,
extension--reload,extension,,Reload,bwezeraninso,Pakia tena,Баргиред,bwezeraninso,true,Ukubwekeshapo,Amubikke mucite alimwi,ku kutisa,kufintishahu,kubikamo bintu bikebewa,Longejeka kamuchivali,"Welezganiso ",
extension--somethingwentwrong,extension,,Something went wrong...,chinachake chinalakwika ...,Kitu kilichokosa ...,Чизе хато кард ...,chinachake chinalakwika ...,true,Pali fimo ifyalubene,Kulicalubila cimwi,lika zi zamaile bumaswe ...,kudi chinabuli kwikala chiwahi,paji byabula kwenda bulungo ne,Chimwa chimwe chalimbenjanga,Chinyake chindayende makola,
extension--switchtoextension,extension,,Switch to Extension,Sinthani kupita kwa Mlangizi,,,Sinthani ku Extension,,Alukileni kubabomfi,Amucince mulanganye jiisyo yabanasibulimi,Ku cinca kwa zefitelela,kuhimpa ku extension,sonteka ku lufunjisho lwa banjimi,Linunge kuze vananungila,Sinthani kuluta kwa mulangizi,
extension--switchtofarmer,extension,,Switch to Farmer,Sinthani kupita kwa Mlimi,,,Sinthani ku Mlimi,,Alukileni ku mulimi,Amubone mulimi,ku cinca ku mulimi,kuhimpa ku ndimi,sonteka ku banjimi,Linunge na njimi,Sithani kuluta kwa mulimi,
extensioncontent--additional,extension-content,,Additional,Zipangizo zoonjezera,,,Zowonjezera,,Ukulundako,Amuyugizye lwiiyo,Kuekeza,kushilaku,kunungapo,Vyakuhakilako,Vyakusazgilapo,
extensioncontent--farmeractivities,extension-content,,Farmer Activities,,,,,true,,,,,,,,
extensioncontent--manual,extension-content,,Manual,Buku,,,Buku,true,,,,,,,,
extensioncontent--monitoring,extension-content,,Monitoring,Kuwunikira,,,Kuyanganira / Kuyendera,true,,,,,,,,
extensioncontent--privacypolicy,extension-content,,Privacy Policy,Mfundo zazinsinsi,,,Mfundo zachinsinsi,true,Ifunde lya nkama,Zyizya kunze zyakutobela,Kalulo yaku pata,nshimbi yatalangá hakudikalila chamuntu,muzhilo wamwine muntu,Jishimbi jakupenge,Fundo zamuchindindi panji zachisisi,
extensioncontent--probability,extension-content,,Probability,kuthekera koti zikhoza kuchitika,Uwezekano,Эҳтимол,mpata wa zoyembekezeleka,true,,,,,,,,
extensioncontent--resources,extension-content,,Resources,zipangizo,Rasilimali,Захираҳо,zipangizo,true,,,,,,,,
extensioncontent--takeapptour,extension-content,,Take App Tour,Zili mu PICSA wa pa foni,,,,true,,,,,,,,
extensioncontent--training,extension-content,,Training,Maphunziro a PICSA,,,Maphunziro,,Ukusambilisha,Jisyo,Kuituta,kudizisa,lufunjisho,Kutanga,Masambiro gha PICSA,
farmeractivity--activity,farmer-activity,,Activity,,,,,true,,,,,,,,
farmeractivity--afterwatchingcontinuetotheactivity,farmer-activity,,After watching continue to the activity,,,,,true,,,,,,,,
farmeractivity--inthisvideoyouwilllearnaboutthepicsastep,farmer-activity,,In this video you will learn about the PICSA step:,,,,,true,,,,,,,,
farmeractivity--intro,farmer-activity,,Intro,,,,,true,,,,,,,,
farmeractivity--tool,farmer-activity,,Tool,,,,,true,,,,,,,,
farmercontent--arethechangesagoodidea,farmer_content,,Are the changes a good idea?,Kodi kusinthaku ndi ganizo labwino?,,,Kodi kusintha ndi lingaliro labwino?,,Bushe ukwaluka li tontonkanyo ilisuma,Syena kucinca muzeezo uuli kabotu,Kana Lichincelo ki zeende?,ichi kuhimpa chidi chiwahi?,nanchi alwe lupimpu kintu kyawama nyi?,Kwalumuna chavyuma vinapu vishinganyeka vyamwaza?,Kasi kusintha nimaghanoghano ghawemi?,
farmercontent--beyondpicsa,farmer_content,,Beyond PICSA,Kupitilira PICSA,,,Kupyola pa PICSA,,Ukucila pali PICSA,Kunze aa PICSA,kufitelela PICSA,kubadika PICSA,pakupwa kwa mutanchi wa picsa,Vinazomboka PISCA,Kupitilila pa PICSA,
farmercontent--historicclimate,farmer_content,,Historic Climate,mbiri ya za nyengo,,,Mbiri ya za Nyengo,,Imiceele iya kale,Kulanganya zyakaindi kweendelana a luuwo mboluunga,lichincelo za myaha ni muiyo za kale,nsangu yakwenda champepela muluzwizwi yamwekeni,"asbwakya wa nokelo ya mvula,kupimpulwa kwa lubesha ne mwela muyoyo mpunzha",Mijimbu yajingonde jamyaka,Mbiri zya nyengo,
farmercontent--ifyourecordedanythingonpaperyoucancapturephotoshere,farmer-content,,If you recorded anything on paper you can capture photos here,"Ngati munalemba chinachilichonse papepala, mutha kujambula zithunzi apapa",,,Ngati munalemba cinacake pa pepela mungajambule zithunzi pa tsambali,,Nga mwalemba ifili fyonse pa pepala kuti mwakopa ifikope apa.,Kuti naa kuli zyimwakalemba mupepa inga mwabweza cifwanikiso mwamana,"nji mungozi lika fa pepa, mwakona kuunga ma pictala fa","neyi wasoneka chidichezima hachipampilu, unatela kusha nyevulu aha",inge mwanembele pakipepala nangwa kukopa bipikikyala mukamulupi,Nge wasonekanga kala vyuma halipepa kopa foto hano,Pala mwangulemba chinyake pa pepala mungajambula sono,
farmercontent--interactivetool,farmer_content,,Interactive Tool,"Chida cholankhulana, kuyankhana komanso kuthandizana",,,Chida Chothandizira,,Icibombelo icakulanshanya,Zyibelesyo zyindeene- indeene,Mukwa waku sebelisa,zhakuzatisha mukuzata hamu,kibamba kya kwisambilamo na bantu bakwabo,Chitwa,Chilwero chakugwiriska ntchito munyakenamunyake,
farmercontent--options,farmer_content,,Options,Zisankho,,,Zosankha,true,Ukusalapo,Izyimwi zyomunga mwacita,Zakuketa,zhakusakula,bintu bikwabo byakusalapo,Chuma chikwavo,Vyakusankha,
farmercontent--participatorybudgets,farmer_content,,Participatory Budgets,"Bajeti yopangira limodzi ",,,ma bajeti okambitsana,,Amabajeti ayasangwako,Kulemba zyintu zyomuyanda kuula,Mashelengi akuitusisa,zhibajeti zhakukwataku mbandi kudiezhima,mwaba wa maali ye mwalenga pamo na bonse bamukisemi kyenu,Vilongeselo vyakuzachishilamo jimbongo vatu vosena,Bajeti yakupangira pamoza,
farmercontent--resourceallocationmap,farmer_content,,Resource Allocation Map,Mapu oonetsa zinthu zomwe mlimi alinazo,,,Chithunzi cha Kugawidwa kwa Zinthu,true,Mapu iya kwakanya ifipe,Map ikwakujana zyintu zyakubelesya mubulimi,Mapa ye bonisa zaku sebelisa,nzhila yanomu mwakupangíla madi,mutanchi wakwabanya bintu bya kwingijisha pa bujimi bwenu,Walo wakupangila mwakuzachila,Mapu ghakuoneska ivyo munthu walinavo,
farmercontent--seasonalforecast,farmer_content,,Seasonal Forecast,ulosi wa nyengo wa pachaka/season,,,Uthenga wa zanyengo,true,,,,,,,Ulozgi wa nyengo wa pachaka/season,
farmercontent--shorttermforecast,farmer_content,,Short Term Forecast,Ulosi wa nyengo wa nthawi yochepa,,,,true,,,,,,,ulozgi wa nyengo wa kanyengo kachoko,
farmercontent--testimonials,farmer_content,,Testimonials,Kuperekera Umboni,,,Umboni,,ubunte ubupya,Kwaamba zyakamucitikila,Bupaki,kushimuna wusahu wamuzhimbu wawuwahi,mawi alutundaiko kufuma ku banjimi bekwenu,Unjiho wakulisala,Kuperekera ukaboni,
farmercontent--tutorials,farmer_content,,Tutorials,Zitsanzo,,,Maphunziro,,Amasambililo,Kwiiya kuba ajiisyo,Lituto,zhakuzatisha kutangísha,mafunjisho anembwa na bashayuka,Kulumbununa vyuma vyakutanga,Visambizgo vyapadera,
farmercontent--usetheforecaststoupdateandadaptyourplans,farmer_content,,Use the forecasts to update and adapt your plans,"Konzaninso ma Plan anu pogwiritsa ntchito Ulosi ",,,Gwiritsani nchito chisonyezo cha mvula kuti musinthe ndikukonzekera,,Bomfyeni ifyakusobela pakubwekeshapo no kwalula amapange yenu,Amubelesye kulanganya zyizya kumbele akupanga mapange,Kuitusisa mufukelo wa moya kubeha niku ziba za misebezi wamina,"kuzatisha yimwenu yanozhinateli kuwekana, kuwahisha nikwala chiwahi yitongózhoka yanoyu yuma munakukengá kwila",kwingijisha masabwakya ne kumona mashinda akwingijisha mu bunjimi,"Zachisa kuhunanana chajingonde,lyeulule na kuzata mwaya kujina chove",Gwiriskani ntchito kuloska ukomwapokera kuti mughawoneso nakusintha ma pulani ghinu,
farmercontent--usingtheapp,farmer_content,,Using the App,Kagwiritsidwe ntchito ka app,,,Pogwiritsa ntchito Pulogilamu (App),,Ukubomfya app,Kwiinda mukubelesya App,kuitusisa luwaile,kuzatisha zhawanikangá ha shingá,kwingijisha app,Kuzachisa chinyingi chamakumbi ano,Kugwirska ntchio app,
farmercontent--usingthetool,farmer_content,,Using The Tool,Kagwiritsidwe ntchito ka chida,,,Pogwiritsa ntchito Chipangizo,,Ukubomya icibombelo,Kubelesya zyibelesyo,kuitusisa mukwa,kuzatisha makina,kwingijisha byela nangwa bintu bikwabo,Kuzachisa chitwa,Kugwiriska ntchito chilwero,
farmercontent--whataretheopportunitiesandrisk,farmer_content,,What are the opportunities and risk?,Kodi pali mwayi ndi ziopsezo zotani?,,,Kodi mwayi ndi zoopsa ndi chiyani?,,Bushe mashuko nshi na mafya?,Ino zyinzi zyilibonya kumbele kuti inga mwazyindilila nokuba kuti kuli buyumu yumu,King'I zakufumana ni matata?,kuwaha nikutamanyi chidimu?,nanchi nanyi mashuko ne makatazho ajimo?,Inyi nganyo,Pali mwabi na chofyo mbuni?,
farmercontent--whatchangescanyoumake,farmer_content,,What changes can you make?,Kodi mukhoza kupanga kusintha kwanji?,,,Kodi mungasinthe chiyani?,,Bushe nifinshi fingapilibulwa?,Ino zyinzi zyomunga mwacinca?,King'I zemukona ku cinca?,munateli kuhimpa di?,nanyi bintu byomukeba kukingya?,Inyi Vyuma muka nauhasa kwalumuna,Ntchivichi icho mungasintha,
farmercontent--whatdoyoucurrentlydo,farmer_content,,What do you currently do?,Kodi pakadali pano mumatani?,,,Mukuchita chiyani palipano?,,Bushe finshi ucita pali ino nshita?,Ino cinzi comucita kwaino?,King'I zemueza?,munakwiladi chayinu mpiji?,nanchi mubena kuba nanyi bintu pakino kimye?,Inyi milimo muka wakuzata?,Kasi mukuchita vichi pasono,
farmercontent--whatishappeningtotheclimateinyourarea,farmer_content,,What is happening to the climate in your area?,Kodi nchiyani chikuchitika ku nyengo ya mdera lanu,,,Kodi chikuchitika ni chiyani ku nyengo mu dela lanu?,,Bushe finshi filecitika ku miceele mu ncende yenu?,Ino cinzi cicitika kubusena nkomukkala kweendelana aluuwo mboluunga?,King'I zezahala kwa lichinceho za myaha ni muoya mwa sibaka sa mina?,yumanyi yinakumwekana mumpepela mwilungá denu?,nanchi bintuka abyo bibena kumweka muyoyo mpunzha pa kupimpulwa kwa lubesha?,Vyuma muka vili nakusoloka ku ngonde mungalila yove?,Chikuchitika ntchivichi kwakuyana na nyengo muchigawa chinu,
farmercontent--whatispicsa,farmer_content,,What is PICSA?,Kodi PICSA ndi chiyani?,,,Kodi PICSA ndi chiyani?,,Bushe PICSA cinshi ?,Ino PICSA ncinzi?,PICSA king'I?,PICSA chumanyi?,nanchi picsa yemuka?,Inyi PISCA chuma muka?,Kasi PICSA ntchivichi?,
farmercontent--youdecideandmakeaplan,farmer_content,,You decide and make a plan,Mumapanga chiganizo ndikupanga plan,,,Mumasankha ndikupanga dongosolo,,Mwapingula no kupanga ubupekanyo,Muleelende kusala akuzyiba ncomunga mwacita,mwa keta niku panga zakueza,tondenu nakwala yuma mukukengá kwila,mwafukula ne kulenga mutanchi,Sakula uwane jila yakuzachilamo,Mukughanaghana nakudumula icho mungachita nakupanga pulani,
forecasts--daily,forecasts,,Daily,Patsiku,,,Tsiku ndi tsiku,true,Lyonse,Ingombe zyamukupa,zazi ni zazi,hefuku hefuku,kila juba,Hakumbi hakumbi,Zuba lililose,
forecasts--national,forecasts,,National,za dziko lonse,,,Dziko lonse,,Icaalo,Kulanganya cisi komuzyulilwa,li fasi,zhamwitungá,kyal kyonse,Vyalifuchi,Vyakukhwaskana na chalo,
forecasts--noseasonalforecastsfound,forecasts,,No seasonal forecasts found,,,,,,,,,,,,,
forecasts--noshorttermforecastsfound,forecasts,,No short term forecasts found,,,,,,,,,,,,,
